"episode","tottime","startsec","stopsec","startmin","stopmin","character","charas","cloneswap"
1,487,0,487,0,8.1167,"Sarah","Sarah",0
1,110,63,173,1.05,2.8833,"Beth","Beth",0
1,162,588,750,9.8,12.5,"Sarah","Sarah",0
1,22,750,772,12.5,12.8667,"Sarah","Beth",1
1,242,806,1048,13.4333,17.4667,"Sarah","Beth",1
1,112,1088,1200,18.1333,20,"Sarah","Beth",1
1,22,1233,1255,20.55,20.9167,"Sarah","Beth",1
1,89,1300,1389,21.6667,23.15,"Sarah","Beth",1
1,87,1486,1573,24.7667,26.2167,"Sarah","Beth",1
1,174,1573,1747,26.2167,29.1167,"Sarah","Sarah",0
1,155,1747,1902,29.1167,31.7,"Sarah","Beth",1
1,209,1995,2204,33.25,36.7333,"Sarah","Beth",1
1,71,2204,2275,36.7333,37.9167,"Sarah","Sarah",0
1,99,2317,2416,38.6167,40.2667,"Sarah","Sarah",0
1,160,2416,2576,40.2667,42.9333,"Katja","Katja",0
1,86,2416,2502,40.2667,41.7,"Sarah","Beth",1
1,74,2502,2576,41.7,42.9333,"Sarah","Sarah",0
2,95,0,95,0,1.583333333,"Sarah","Beth",1
2,75,9,84,0.15,1.4,"Alison","Alison",0
2,26,95,121,1.583333333,2.016666667,"Sarah","Sarah",0
2,41,154,195,2.566666667,3.25,"Sarah","Sarah",0
2,73,242,315,4.033333333,5.25,"Sarah","Sarah",0
2,6,393,399,6.55,6.65,"Sarah","Sarah",0
2,233,418,651,6.966666667,10.85,"Sarah","Sarah",0
2,156,651,807,10.85,13.45,"Sarah","Beth",1
2,229,970,1199,16.16666667,19.98333333,"Sarah","Beth",1
2,84,1199,1283,19.98333333,21.38333333,"Sarah","Sarah",0
2,33,1283,1316,21.38333333,21.93333333,"Sarah","Beth",1
2,33,1283,1316,21.38333333,21.93333333,"Cosima","Cosima",0
2,47,1316,1363,21.93333333,22.71666667,"Sarah","Sarah",0
2,234,1363,1597,22.71666667,26.61666667,"Sarah","Katja",1
2,486,1597,2083,26.61666667,34.71666667,"Sarah","Sarah",0
2,52,1701,1753,28.35,29.21666667,"Alison","Alison",0
2,63,1850,1913,30.83333333,31.88333333,"Alison","Alison",0
2,119,1964,2083,32.73333333,34.71666667,"Alison","Alison",0
2,207,2083,2290,34.71666667,38.16666667,"Sarah","Beth",1
2,19,2290,2309,38.16666667,38.48333333,"Sarah","Sarah",0
2,19,2290,2309,38.16666667,38.48333333,"Alison","Alison",0
2,52,2309,2361,38.48333333,39.35,"Sarah","Beth",1
2,152,2361,2513,39.35,41.88333333,"Sarah","Sarah",0
2,38,2475,2513,41.25,41.88333333,"Alison","Alison",0
2,14,2499,2513,41.65,41.88333333,"Cosima","Cosima",0
3,96,0,96,0,1.6,"Sarah","Sarah",0
3,96,0,96,0,1.6,"Alison","Alison",0
3,96,0,96,0,1.6,"Cosima","Cosima",0
3,92,142,234,2.3667,3.9,"Sarah","Sarah",0
3,53,142,195,2.3667,3.25,"Alison","Alison",0
3,17,142,159,2.3667,2.65,"Cosima","Cosima",0
3,33,201,234,3.35,3.9,"Cosima","Cosima",0
3,77,234,311,3.9,5.1833,"Sarah","Sarah",0
3,257,311,568,5.1833,9.4667,"Sarah","Beth",1
3,73,568,641,9.4667,10.6833,"Sarah","Sarah",0
3,73,568,641,9.4667,10.6833,"Cosima","Cosima",0
3,75,641,716,10.6833,11.9333,"Sarah","Beth",1
3,178,716,894,11.9333,14.9,"Sarah","Sarah",0
3,178,716,894,11.9333,14.9,"Cosima","Cosima",0
3,231,894,1125,14.9,18.75,"Sarah","Beth",1
3,94,1151,1245,19.1833,20.75,"Sarah","Sarah",0
3,38,1262,1300,21.0333,21.6667,"Sarah","Sarah",0
3,38,1262,1300,21.0333,21.6667,"Cosima","Cosima",0
3,42,1341,1383,22.35,23.05,"Sarah","Sarah",0
