character,cloneswaps,origin,status,fullname
All Tatiana Maslany Clones,,,,
Sarah,"Beth, Katja, Alison, Cosima, Rachel",England,Alive,Sarah Manning
Alison,Sarah,Canada,Alive,Alison Hendrix
Cosima,Alison,USA,Alive,Cosima Niehaus
Helena,"Sarah as Beth, Sarah, Alison",Ukraine,Alive,Helena
Rachel,Sarah,England,Alive,Rachel Duncan
Tony,,USA,Unknown,Tony Sawicki
Krystal,,Canada,Alive,Krystal Goderitch
Beth,,Canada,Dead - suicide,Beth Childs
Katja,,Germany,Dead - shot by Helena,Katja Obinger
Jennifer,,USA,Dead - clone disease,Jennifer Fitzsimmons
Aryanna,,Italy,Dead,Aryanna Giordano
Danielle,,France,Dead,Danielle Fournier
Janika,,Austria,Dead,Janika Zingler
MK,,Unknown,Alive,MK
