"episode","character","minutes"
1,"Beth",1.83333333333333
1,"Katja",2.66666666666667
1,"Sarah",34.85
2,"Alison",6.1
2,"Cosima",0.783333333333333
2,"Sarah",36.2166666666667
3,"Alison",7.28333333333333
3,"Cosima",7.25000000000001
3,"Helena",2.05
3,"Sarah",37.75
4,"Alison",9.38333333333333
4,"Cosima",3.15
4,"Helena",8.4
4,"Sarah",27.2833333333333
5,"Alison",8.45
5,"Cosima",6.41666666666666
5,"Helena",0.7
5,"Sarah",29.3833333333333
6,"Alison",14.4333333333333
6,"Cosima",6.9
6,"Sarah",17.85
7,"Cosima",7.03333333333333
7,"Helena",9.9
7,"Sarah",19.1833333333333
8,"Alison",11.15
8,"Cosima",4.08333333333333
8,"Helena",3.68333333333333
8,"Sarah",15.25
9,"Alison",8.65
9,"Cosima",6.21666666666667
9,"Helena",7.53333333333333
9,"Rachel",0.183333333333333
9,"Sarah",21.9
10,"Alison",11.0333333333333
10,"Cosima",8.91666666666667
10,"Helena",5.88333333333333
10,"Rachel",3.58333333333333
10,"Sarah",21.1666666666667
11,"Alison",8.65000000000001
11,"Cosima",4.71666666666667
11,"Helena",0.916666666666667
11,"Rachel",6.06666666666666
11,"Sarah",22.5
12,"Alison",10.3166666666667
12,"Cosima",5.48333333333334
12,"Helena",2.93333333333333
12,"Rachel",2.28333333333333
12,"Sarah",15.9333333333333
13,"Alison",7.41666666666667
13,"Cosima",5.81666666666667
13,"Helena",3.61666666666667
13,"Sarah",16.7666666666667
14,"Alison",5.68333333333333
14,"Cosima",4.1
14,"Helena",6.66666666666667
14,"Sarah",20.8
15,"Cosima",5.26666666666666
15,"Helena",11.7166666666667
15,"Rachel",8.36666666666667
15,"Sarah",13.2333333333333
16,"Alison",5.56666666666667
16,"Cosima",4.10000000000001
16,"Helena",13.7333333333333
16,"Sarah",17.9666666666667
17,"Alison",8.81666666666667
17,"Cosima",3.11666666666667
17,"Rachel",4.28333333333333
17,"Sarah",16.9333333333333
18,"Alison",5
18,"Cosima",8.44999999999999
18,"Rachel",4.46666666666666
18,"Sarah",8.68333333333334
18,"Tony",14.4166666666667
19,"Alison",8.65000000000001
19,"Cosima",3.51666666666667
19,"Helena",9.08333333333333
19,"Rachel",7.5
19,"Sarah",9.13333333333333
20,"Alison",3.56666666666667
20,"Cosima",11.4833333333333
20,"Helena",7.01666666666667
20,"Rachel",6.18333333333334
20,"Sarah",22.1666666666666
21,"Alison",8.26666666666667
21,"Cosima",4.79999999999999
21,"Helena",4.11666666666667
21,"Krystal",0.533333333333333
21,"Rachel",2.71666666666666
21,"Sarah",24.35
22,"Alison",4.53333333333333
22,"Cosima",4.16666666666667
22,"Helena",3.95
22,"Sarah",16.3333333333333
23,"Alison",3.5
23,"Cosima",4.25
23,"Helena",2.06666666666666
23,"Rachel",1.31666666666667
23,"Sarah",15.2666666666667
24,"Alison",6.43333333333333
24,"Cosima",3.9
24,"Helena",9.25
24,"Sarah",18.4
25,"Cosima",4.58333333333333
25,"Helena",17.3666666666667
25,"Sarah",16.8
26,"Alison",4.3
26,"Beth",2.38333333333333
26,"Cosima",6.73333333333333
26,"Helena",1.5
26,"Rachel",2.8
26,"Sarah",14.3333333333333
27,"Alison",18.1333333333333
27,"Cosima",11.1
27,"Helena",4.33333333333334
27,"Rachel",2.5
27,"Sarah",3.85
28,"Alison",4
28,"Cosima",10.8833333333333
28,"Helena",2.55
28,"Krystal",6.15
28,"Rachel",7.05
28,"Sarah",12.0666666666667
29,"Alison",1.35
29,"Cosima",4.73333333333333
29,"Helena",7.63333333333334
29,"Sarah",15.5833333333333
30,"Alison",5.03333333333333
30,"Cosima",6.33333333333333
30,"Helena",8.51666666666666
30,"Krystal",1.71666666666667
30,"Rachel",3.73333333333334
30,"Sarah",14.55
33,"Alison",5.63333333333333
33,"Cosima",5.1
33,"Helena",4.76666666666667
33,"Rachel",8.81666666666667
33,"Sarah",16.5166666666667
1,"All Tatiana Maslany Clones",39.35
2,"All Tatiana Maslany Clones",43.1
3,"All Tatiana Maslany Clones",54.3333333333333
4,"All Tatiana Maslany Clones",48.2166666666666
5,"All Tatiana Maslany Clones",44.95
6,"All Tatiana Maslany Clones",39.1833333333333
7,"All Tatiana Maslany Clones",36.1166666666667
8,"All Tatiana Maslany Clones",34.1666666666667
9,"All Tatiana Maslany Clones",44.4833333333333
10,"All Tatiana Maslany Clones",50.5833333333333
11,"All Tatiana Maslany Clones",42.85
12,"All Tatiana Maslany Clones",36.95
13,"All Tatiana Maslany Clones",33.6166666666667
14,"All Tatiana Maslany Clones",37.25
15,"All Tatiana Maslany Clones",38.5833333333333
16,"All Tatiana Maslany Clones",41.3666666666667
17,"All Tatiana Maslany Clones",33.15
18,"All Tatiana Maslany Clones",41.0166666666667
19,"All Tatiana Maslany Clones",37.8833333333333
20,"All Tatiana Maslany Clones",50.4166666666666
21,"All Tatiana Maslany Clones",44.7833333333333
22,"All Tatiana Maslany Clones",28.9833333333333
23,"All Tatiana Maslany Clones",26.4
24,"All Tatiana Maslany Clones",37.9833333333333
25,"All Tatiana Maslany Clones",38.75
26,"All Tatiana Maslany Clones",32.05
27,"All Tatiana Maslany Clones",39.9166666666667
28,"All Tatiana Maslany Clones",42.7
29,"All Tatiana Maslany Clones",29.3
30,"All Tatiana Maslany Clones",39.8833333333333
33,"All Tatiana Maslany Clones",40.8333333333333
